family,propulsion,mission,sweep,agent,seed,termination_reason_mode
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,4,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,5,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,6,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,edelbaum,7,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,0,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,1,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,2,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,3,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,4,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,5,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,6,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,max_thrust,7,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,0,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,1,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,2,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,3,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,4,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,5,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,6,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,ppo,7,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,0,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,1,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,2,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,3,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,4,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,5,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,6,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,prograde,7,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,random,0,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,random,1,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,random,2,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,random,3,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,random,4,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,random,5,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,random,6,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,random,7,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,0,timeout
electric,hall_spt100,leo_geo_transfer,my_pilot,sac,1,timeout
