family,propulsion,mission,sweep,agent,seed,constraint_violations
electric,ion_next,leo_geo_transfer,my_pilot,sac,0,0.0
electric,ion_next,leo_geo_transfer,my_pilot,sac,1,0.0
electric,ion_next,leo_geo_transfer,my_pilot,sac,2,0.0
electric,ion_next,leo_geo_transfer,my_pilot,sac,3,0.0
electric,ion_next,leo_geo_transfer,my_pilot,sac,4,0.0
electric,ion_next,leo_geo_transfer,my_pilot,sac,5,0.0
electric,ion_next,leo_geo_transfer,my_pilot,sac,6,0.0
electric,ion_next,leo_geo_transfer,my_pilot,sac,7,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,0,3308.25
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,1,3311.75
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,2,3314.5
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,3,3307.25
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,4,3295.0
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,5,3281.5
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,6,3330.75
electric,ion_nstar,leo_geo_transfer,my_pilot,edelbaum,7,3296.75
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,0,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,1,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,2,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,3,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,4,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,5,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,6,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,max_thrust,7,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,0,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,1,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,2,2.5
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,3,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,4,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,5,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,6,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,ppo,7,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,0,3304.5
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,1,3420.75
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,2,3333.75
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,3,3321.0
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,4,3361.0
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,5,3275.5
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,6,3302.5
electric,ion_nstar,leo_geo_transfer,my_pilot,prograde,7,3300.5
electric,ion_nstar,leo_geo_transfer,my_pilot,random,0,613.0
electric,ion_nstar,leo_geo_transfer,my_pilot,random,1,489.0
electric,ion_nstar,leo_geo_transfer,my_pilot,random,2,623.0
electric,ion_nstar,leo_geo_transfer,my_pilot,random,3,678.25
electric,ion_nstar,leo_geo_transfer,my_pilot,random,4,539.0
electric,ion_nstar,leo_geo_transfer,my_pilot,random,5,621.75
electric,ion_nstar,leo_geo_transfer,my_pilot,random,6,595.75
electric,ion_nstar,leo_geo_transfer,my_pilot,random,7,672.0
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,0,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,1,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,2,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,3,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,4,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,5,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,6,0.0
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,7,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,0,125.25
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,1,140.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,2,272.5
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,3,212.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,4,282.75
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,5,338.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,6,257.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,7,259.5
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,0,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,1,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,2,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,3,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,4,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,5,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,6,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,7,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,0,25.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,1,45.25
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,2,242.5
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,3,88.75
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,4,195.25
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,5,246.5
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,6,169.5
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,7,119.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,0,0.75
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,1,1.25
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,2,3.25
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,3,2.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,4,3.5
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,5,3.25
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,6,2.25
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,7,1.5
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,0,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,1,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,2,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,3,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,4,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,5,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,6,0.0
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,7,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,0,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,1,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,2,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,3,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,4,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,5,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,6,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,7,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,0,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,1,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,2,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,3,0.0
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,4,0.0
