family,propulsion,mission,sweep,agent,seed,wear_fraction
electric,ion_nstar,leo_geo_transfer,my_pilot,random,3,0.2490583333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,random,4,0.2473416666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,random,5,0.2516166666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,random,6,0.2470166666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,random,7,0.2462083333333333
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,0,0.26125
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,1,0.2586916666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,2,0.2625
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,3,0.2628
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,4,0.259075
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,5,0.2643666666666666
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,6,0.2603
electric,ion_nstar,leo_geo_transfer,my_pilot,sac,7,0.26095
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,0,0.4617769423133123
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,1,0.4587074402969714
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,2,0.4419654498772524
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,3,0.4484533053144277
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,4,0.4393977694185065
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,5,0.4304584192109952
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,6,0.4433102671989308
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,max_thrust,7,0.4423073048952795
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,0,0.1150579422302756
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,1,0.1295236005342647
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,2,0.1295211832808097
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,3,0.1056919844815538
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,4,0.1056
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,5,0.1068034151853189
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,6,0.1194411937527607
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,ppo,7,0.1129394329537744
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,0,0.2586438191565418
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,1,0.2568983967855292
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,2,0.2423049857091559
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,3,0.2537020679621814
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,4,0.2455284949889569
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,5,0.2408820542875565
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,6,0.2471650878430281
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,prograde,7,0.2508570884125309
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,0,0.140115157597539
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,1,0.1408438672518767
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,2,0.1397864904480787
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,3,0.1403135452326354
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,4,0.139227763089408
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,5,0.1399474601589494
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,6,0.1397463711190088
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,random,7,0.1395182752925687
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,0,0.1303873981079091
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,1,0.1304088335296377
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,2,0.1304014243363578
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,3,0.1303792466761776
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,4,0.1304018855766253
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,5,0.1303766439623642
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,6,0.04371
electric,hall_hermes,mars_crew_fast,my_pilot_nuclear,sac,7,0.1304165441663362
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,0,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,1,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,2,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,3,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,4,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,5,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,6,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,max_thrust,7,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,0,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,1,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,2,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,3,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,4,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,5,0.11
electric,ion_next,mars_crew_fast,my_pilot_nuclear,ppo,6,0.11
