sweep,family,propulsion,mission,agent,seed,trip_time_days,wear_fraction,constraint_violations,termination_reason_mode,success_rate,status,source_file
my_pilot,electric,hall_spt100,leo_geo_transfer,ppo,1,365.0,0.1828055555555555,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,ppo,0,365.0,0.5182222222222221,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,ppo,2,365.0,0.3318611111111111,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,ppo,3,365.0,0.2339999999999999,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,ppo,5,365.0,0.3101944444444444,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,ppo,4,365.0,0.1293333333333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,ppo,6,365.0,0.3036388888888889,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,ppo,7,365.0,0.7819166666666667,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,sac,0,365.0,0.9608888888888888,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,sac,1,365.0,0.6151111111111112,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,sac,2,365.0,0.9616666666666668,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,sac,3,365.0,0.6870277777777778,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,sac,4,365.0,0.959,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,sac,5,365.0,0.0143055555555555,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,random,0,365.0,0.1097395833333333,542.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,random,1,365.0,0.1095989583333333,439.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,sac,6,365.0,0.9595,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,random,2,365.0,0.110375,536.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,random,3,365.0,0.1101406249999999,584.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,random,4,365.0,0.1093802083333333,475.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,hall_spt100,leo_geo_transfer,sac,7,365.0,0.9608333333333332,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,random,5,365.0,0.11053125,539.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,random,6,365.0,0.1091875,542.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,random,7,365.0,0.1095833333333333,569.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,max_thrust,0,365.0,0.1159999999999999,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,max_thrust,1,365.0,0.1147916666666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,max_thrust,2,365.0,0.1169479166666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,max_thrust,3,365.0,0.11703125,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,max_thrust,4,365.0,0.1149791666666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,max_thrust,5,365.0,0.1175208333333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
